_id,name,lat,lon
44136,江戸川臨海,35.6383,139.8633
44166,羽田,35.5533,139.78
44172,大島,34.7483,139.3617
44226,三宅島,34.1233,139.5217
44263,八丈島,33.1217,139.7783
44056,青梅,35.7883,139.3117
44076,練馬,35.735,139.6683
44116,府中,35.6833,139.4817
44051,小沢,35.735,139.1233
44301,父島,27.0917,142.19
44173,大島北ノ山,34.7817,139.36
44262,八重見ヶ原,33.115,139.785
44228,三宅坪田,34.0733,139.56
44207,新島,34.3683,139.2683
44216,神津島,34.1883,139.1333
44356,南鳥島,24.2883,153.9833
44316,母島,26.635,142.1617
45081,香取,35.8583,140.5017
45061,我孫子,35.8633,140.11
45086,東庄,35.8217,140.685
45121,成田,35.7633,140.385
45147,銚子,35.7383,140.8567
45212,千葉,35.6017,140.1033
45261,茂原,35.4167,140.31
45282,木更津,35.3617,139.94
45346,鋸南,35.1217,139.8367
45361,鴨川,35.1117,140.1
45371,勝浦,35.15,140.3117
45401,館山,34.9867,139.865
45116,佐倉,35.7283,140.2117
45181,横芝光,35.6567,140.48
45331,大多喜,35.2517,140.215
45106,船橋,35.7117,140.0433
45291,牛久,35.3967,140.1483
45326,坂畑,35.235,140.0983
46001,相模湖,35.6133,139.1933
46091,海老名,35.4333,139.3867
46106,横浜,35.4383,139.6517
46161,箱根,35.2217,139.0417
46211,三浦,35.1783,139.63
46046,相模原中央,35.5717,139.37
46061,日吉,35.5517,139.65
46136,平塚,35.345,139.305
46166,小田原,35.2767,139.155
46076,丹沢湖,35.41,139.0433
46141,辻堂,35.32,139.45
48031,野沢温泉,36.9117,138.4417
48061,信濃町,36.8083,138.1983
48066,飯山,36.875,138.375
48141,白馬,36.6983,137.8617
48156,長野,36.6617,138.1917
48172,笠岳,36.6667,138.4567
48191,大町,36.5233,137.8333
48196,信州新町,36.5483,137.9967
48256,上田,36.4,138.265
48296,穂高,36.3433,137.8817
48331,軽井沢,36.3417,138.5467
48361,松本,36.245,137.97
48371,鹿教湯,36.3017,138.1367
48386,佐久,36.2467,138.4767
48491,諏訪,36.045,138.1083
48541,木曽平沢,35.9833,137.835
48561,原村,35.97,138.22
48571,野辺山,35.9483,138.4717
48601,御嶽山,35.8717,137.5033
48606,木曽福島,35.84,137.6883
48681,宮田高原,35.7733,137.885
48716,須原,35.6983,137.6917
48731,飯島,35.6533,137.8983
48767,飯田,35.5233,137.8217
48216,菅平,36.5317,138.325
48321,東御,36.3833,138.3833
48346,上高地,36.2467,137.6333
48717,南木曽,35.61,137.62
48146,鬼無里,36.6883,137.965
48381,立科,36.2717,138.3133
48466,奈川,36.0883,137.6833
48531,開田高原,35.9383,137.6017
48826,浪合,35.3733,137.6917
48546,辰野,35.9817,137.9833
48841,南信濃,35.3217,137.9317
48836,阿南,35.3133,137.8117
48247,聖高原,36.4867,138.0683
48737,大鹿,35.5567,138.04
48691,杉島,35.7267,138.0933
48097,小谷,36.8217,137.93
48621,伊那,35.8267,137.955
48363,松本今井,36.1667,137.9217
48516,北相木,36.0717,138.6117
48436,白樺湖,36.105,138.2283
48556,高遠,35.9533,138.1083
49142,甲府,35.6667,138.5533
49151,勝沼,35.6633,138.725
49161,大月,35.6083,138.9383
49186,八町山,35.5433,138.4117
49196,古関,35.5283,138.615
49251,河口湖,35.5,138.76
49256,山中,35.4367,138.8367
49316,南部,35.2883,138.445
49036,大泉,35.8617,138.3867
49086,韮崎,35.6933,138.4483
49171,上野原,35.6217,139.1133
49236,切石,35.4667,138.4417
50066,富士山,35.36,138.7267
49052,乙女湖,35.8067,138.655
50056,白糸,35.3117,138.5783
50136,御殿場,35.305,138.9267
50196,富士,35.185,138.6633
50206,三島,35.1133,138.925
50231,越木平,35.01,137.98
50241,川根本町,35.1017,138.1283
50281,網代,35.045,139.0917
50317,高根山,34.975,138.1967
50331,静岡,34.975,138.4033
50386,天竜,34.89,137.8133
50426,湯ケ島,34.9,138.925
50427,天城山,34.8717,139.0233
50456,浜松,34.7083,137.7183
50491,松崎,34.755,138.7833
50506,稲取,34.7817,139.0483
50551,御前崎,34.6033,138.2117
50561,石廊崎,34.6033,138.8417
50226,佐久間,35.0567,137.7617
50416,土肥,34.8767,138.76
50371,三ヶ日,34.8017,137.5567
50466,掛川,34.78,137.9667
50296,熊,34.9583,137.7333
50111,梅ケ島,35.2367,138.3417
50261,清水,35.0533,138.5217
50536,磐田,34.6917,137.88
50476,菊川牧之原,34.785,138.1383
50106,井川,35.2167,138.2217
50391,三倉,34.895,137.94
50247,鍵穴,35.0483,138.2467
50066,富士山,35.36,138.7267
50477,静岡空港,34.795,138.1883
51011,一宮,35.2983,136.8533
51077,茶臼山,35.22,137.6583
51106,名古屋,35.1667,136.965
51116,豊田,35.1317,137.1767
51161,東海,35.0233,136.9017
51226,岡崎,34.9183,137.1933
51241,作手,34.9767,137.425
51271,一色,34.8117,137.0283
51331,豊橋,34.75,137.3417
51346,伊良湖,34.6283,137.0933
51356,田原,34.6267,137.2217
51071,稲武,35.2117,137.5067
51096,蟹江,35.1367,136.7917
51311,南知多,34.74,136.9383
51056,小原,35.2283,137.285
51281,蒲郡,34.845,137.2167
51031,愛西,35.2167,136.6983
51247,新城,34.9067,137.5167
51261,セントレア,34.8583,136.805
51192,阿蔵,35.0783,137.4133
52051,神岡,36.3217,137.3083
52146,高山,36.155,137.2533
52192,船山,36.035,137.26
52286,萩原,35.8883,137.2067
52331,八幡,35.7567,136.9783
52381,樽見,35.6383,136.6033
52406,金山,35.6633,137.16
52476,伽藍,35.515,137.23
52536,美濃加茂,35.445,137.005
52556,恵那,35.4467,137.4033
52557,中津川,35.4767,137.4867
52571,関ケ原,35.3633,136.4667
52581,大垣,35.3467,136.62
52586,岐阜,35.4,136.7617
52461,美濃,35.5567,136.91
52606,多治見,35.3467,137.1083
52641,上石津,35.295,136.4717
52111,栃尾,36.2483,137.5033
52346,宮地,35.7633,137.2883
52221,長滝,35.925,136.8317
52511,揖斐川,35.485,136.5667
52181,六厩,36.06,137.0333
52081,白川,36.2733,136.8967
52041,河合,36.305,137.1
52196,宮之前,36.015,137.3883
52482,黒川,35.5983,137.3183
52421,付知,35.6567,137.4267
52131,御母衣,36.1467,136.9083
52173,ひるがの,36.01,136.895
52137,清見,36.18,137.045
52152,丹生川,36.1883,137.3717
52321,関市板取,35.7233,136.7833
53016,北勢,35.1433,136.5383
53041,桑名,35.05,136.6933
53061,四日市,34.94,136.58
53091,亀山,34.87,136.4533
53112,上野,34.7617,136.1417
53121,笠取山,34.725,136.3083
53132,津,34.7333,136.5183
53141,名張,34.635,136.1117
53196,小俣,34.5283,136.665
53231,粥見,34.4483,136.39
53287,藤坂峠,34.3233,136.4883
53378,尾鷲,34.07,136.1933
53257,鳥羽,34.4817,136.825
53321,宮川,34.2783,136.2083
53296,南伊勢,34.345,136.6817
53326,紀伊長島,34.2083,136.3267
53151,白山,34.625,136.3217
53307,阿児,34.3283,136.8317
53416,御浜,33.8517,135.98
53401,熊野新鹿,33.9317,136.1383
54086,村上,38.2267,139.4783
54157,相川,38.0283,138.24
54166,両津,38.0733,138.44
54232,新潟,37.9117,139.0467
54296,新津,37.7917,139.0867
54341,巻,37.7683,138.9133
54387,寺泊,37.64,138.7667
54396,三条,37.64,138.955
54406,村松,37.6967,139.1883
54421,津川,37.6717,139.4467
54501,長岡,37.45,138.8233
54506,栃尾,37.475,138.9917
54541,柏崎,37.3517,138.5533
54616,小出,37.2383,138.9617
54651,高田,37.1067,138.2467
54661,安塚,37.1067,138.4567
54676,十日町,37.1433,138.7267
54711,糸魚川,37.0383,137.8617
54721,能生,37.0833,138.0233
54836,津南,36.9967,138.6833
54841,湯沢,36.9417,138.81
54011,粟島,38.4617,139.2517
54271,羽茂,37.8417,138.3133
54566,入広瀬,37.3567,139.0717
54816,関山,36.9333,138.2217
54191,下関,38.0917,139.5633
54311,赤谷,37.835,139.415
54606,小国,37.2917,138.7017
54671,松代,37.1317,138.6067
54056,高根,38.33,139.605
54876,平岩,36.8867,137.8633
54586,大潟,37.225,138.325
54041,弾崎,38.33,138.5117
54181,中条,38.06,139.4083
54097,三面,38.2467,139.605
54621,大湯,37.205,139.0617
54761,塩沢,37.0383,138.8467
54462,宮寄上,37.58,139.14
54892,樽本,36.89,138.275
54666,川谷,37.2,138.5167
54737,筒方,37.03,138.3433
54472,室谷,37.55,139.37
54236,松浜,37.955,139.1117
54167,秋津,38.06,138.4133
