,_id,Date,precip,Unnamed: 0,name,lat,lon,text
613,49187,2019-8-22 15:40,0.0,,,,,nan:  0.0mm
614,49196,2019-8-22 15:40,0.0,773.0,古関,35.5283,138.615,古関:  0.0mm
615,49236,2019-8-22 15:40,0.0,780.0,切石,35.4667,138.4417,切石:  0.0mm
616,49251,2019-8-22 15:40,0.0,774.0,河口湖,35.5,138.76,河口湖:  0.0mm
617,49256,2019-8-22 15:40,0.0,775.0,山中,35.4367,138.8367,山中:  0.0mm
618,49316,2019-8-22 15:40,0.0,776.0,南部,35.2883,138.445,南部:  0.0mm
619,50056,2019-8-22 15:40,0.0,783.0,白糸,35.3117,138.5783,白糸:  0.0mm
620,50106,2019-8-22 15:40,0.0,813.0,井川,35.2167,138.2217,井川:  0.0mm
621,50111,2019-8-22 15:40,0.0,809.0,梅ケ島,35.2367,138.3417,梅ケ島:  0.0mm
622,50136,2019-8-22 15:40,0.0,784.0,御殿場,35.305,138.9267,御殿場:  0.0mm
623,50196,2019-8-22 15:40,0.0,785.0,富士,35.185,138.6633,富士:  0.0mm
624,50206,2019-8-22 15:40,0.0,786.0,三島,35.1133,138.925,三島:  0.0mm
625,50226,2019-8-22 15:40,0.0,803.0,佐久間,35.0567,137.7617,佐久間:  0.0mm
626,50232,2019-8-22 15:40,0.0,,,,,nan:  0.0mm
627,50241,2019-8-22 15:40,0.0,788.0,川根本町,35.1017,138.1283,川根本町:  0.0mm
628,50247,2019-8-22 15:40,0.0,815.0,鍵穴,35.0483,138.2467,鍵穴:  0.0mm
629,50261,2019-8-22 15:40,0.0,810.0,清水,35.0533,138.5217,清水:  0.0mm
630,50281,2019-8-22 15:40,0.0,790.0,網代,35.045,139.0917,網代:  0.0mm
631,50296,2019-8-22 15:40,0.0,807.0,熊,34.9583,137.7333,熊:  0.0mm
632,50317,2019-8-22 15:40,0.0,791.0,高根山,34.975,138.1967,高根山:  0.0mm
633,50331,2019-8-22 15:40,0.0,792.0,静岡,34.975,138.4033,静岡:  0.0mm
634,50371,2019-8-22 15:40,0.0,805.0,三ヶ日,34.8017,137.5567,三ヶ日:  0.0mm
635,50386,2019-8-22 15:40,0.0,794.0,天竜,34.89,137.8133,天竜:  0.0mm
636,50391,2019-8-22 15:40,0.0,814.0,三倉,34.895,137.94,三倉:  0.0mm
637,50416,2019-8-22 15:40,0.0,804.0,土肥,34.8767,138.76,土肥:  0.0mm
638,50426,2019-8-22 15:40,0.0,796.0,湯ケ島,34.9,138.925,湯ケ島:  0.0mm
639,50427,2019-8-22 15:40,0.0,797.0,天城山,34.8717,139.0233,天城山:  0.0mm
640,50456,2019-8-22 15:40,0.0,798.0,浜松,34.7083,137.7183,浜松:  0.0mm
641,50466,2019-8-22 15:40,0.0,806.0,掛川,34.78,137.9667,掛川:  0.0mm
642,50476,2019-8-22 15:40,0.0,812.0,菊川牧之原,34.785,138.1383,菊川牧之原:  0.0mm
643,50477,2019-8-22 15:40,0.0,817.0,静岡空港,34.795,138.1883,静岡空港:  0.0mm
644,50491,2019-8-22 15:40,0.0,799.0,松崎,34.755,138.7833,松崎:  0.0mm
645,50506,2019-8-22 15:40,0.0,800.0,稲取,34.7817,139.0483,稲取:  0.0mm
646,50536,2019-8-22 15:40,0.0,811.0,磐田,34.6917,137.88,磐田:  0.0mm
647,50551,2019-8-22 15:40,0.0,801.0,御前崎,34.6033,138.2117,御前崎:  0.0mm
648,50561,2019-8-22 15:40,0.0,802.0,石廊崎,34.6033,138.8417,石廊崎:  0.0mm
649,51011,2019-8-22 15:40,0.0,818.0,一宮,35.2983,136.8533,一宮:  0.0mm
650,51031,2019-8-22 15:40,0.0,837.0,愛西,35.2167,136.6983,愛西:  0.0mm
651,51056,2019-8-22 15:40,0.0,834.0,小原,35.2283,137.285,小原:  0.0mm
652,51071,2019-8-22 15:40,0.0,831.0,稲武,35.2117,137.5067,稲武:  0.0mm
653,51077,2019-8-22 15:40,0.0,820.0,茶臼山,35.22,137.6583,茶臼山:  0.0mm
654,51096,2019-8-22 15:40,0.0,832.0,蟹江,35.1367,136.7917,蟹江:  0.0mm
655,51106,2019-8-22 15:40,0.0,821.0,名古屋,35.1667,136.965,名古屋:  0.0mm
656,51116,2019-8-22 15:40,0.0,822.0,豊田,35.1317,137.1767,豊田:  0.0mm
657,51192,2019-8-22 15:40,0.0,840.0,阿蔵,35.0783,137.4133,阿蔵:  0.0mm
658,51216,2019-8-22 15:40,0.0,,,,,nan:  0.0mm
659,51226,2019-8-22 15:40,0.0,825.0,岡崎,34.9183,137.1933,岡崎:  0.0mm
660,51241,2019-8-22 15:40,0.0,826.0,作手,34.9767,137.425,作手:  0.0mm
